CATEGORIA,TRIADE,PESO
ABASTECIMENTO (MELHORIA),seguranca hidrica modernizacao,0.98
ABASTECIMENTO (MELHORIA),investimento expansao rede,0.92
ABASTECIMENTO (MELHORIA),eficiencia operacional abastecimento,0.85
ABASTECIMENTO (MELHORIA),plano implantacao melhoria,0.8
ACIDENTE,vitimas ferragens bombeiros,"1,00"
ACIDENTE,colisao frontal obito,0.95
ACIDENTE,interditada transito acidente,0.8
ACIDENTE,atropelamento rodovia socorro,0.75
ACAO SOCIAL,inclusao social projeto,0.95
ACAO SOCIAL,doacao solidariedade comunidade,0.9
ACAO SOCIAL,acao social comunidade,0.8
ACAO SOCIAL,comunidade apoio populacao,0.7
ACAO SOCIAL,atendimento social populacao,0.65
CAMPANHAS,campanha educativa comunidade,0.95
CAMPANHAS,campanha conscientizacao populacao,0.9
CAMPANHAS,mobilizacao campanha publica,0.85
CAMPANHAS,divulgacao campanha informacao,0.75
CAMPANHAS,acao campanha comunicacao,0.7
COLETA DE ESGOTO,universalizacao esgoto ete,"1,00"
COLETA DE ESGOTO,esgotamento sanitario bacia,0.95
COLETA DE ESGOTO,tratamento residuos efluentes,0.88
COLETA DE ESGOTO,rede coletora esgoto,0.8
DESESTATIZACAO (COPASA),privatizacao leilao acionistas,"1,00"
DESESTATIZACAO (COPASA),projeto lei desestatizacao,0.95
DESESTATIZACAO (COPASA),modelagem venda companhia,0.85
DESESTATIZACAO (COPASA),transferencia controle privado,0.8
DIVIDA COM A UNIAO,rrf regime recuperacao,"1,00"
DIVIDA COM A UNIAO,indexador juros uniao,0.95
DIVIDA COM A UNIAO,parcelamento debito tesouro,0.85
DIVIDA COM A UNIAO,estoque divida estado,0.8
FALTA DE AGUA,intermitencia abastecimento manutencao,0.98
FALTA DE AGUA,desabastecimento bairros afetados,0.95
FALTA DE AGUA,caminhao pipa falta agua,0.9
FALTA DE AGUA,interrupcao fornecimento emergencial,0.85
FRAUDE,fraude investigacao denuncia,"1,00"
FRAUDE,esquema ilicito apuracao,0.98
FRAUDE,crime financeiro desvio,0.95
FRAUDE,irregularidade auditoria processo,0.9
FRAUDE,falsificacao documento alerta,0.85
FRAUDE,golpe prevencao seguranca,0.8
INFRAESTRUTURA VIARIA,afundamento rua cratera,0.98
INFRAESTRUTURA VIARIA,buracos pavimentacao asfalto,0.9
INFRAESTRUTURA VIARIA,recapeamento via obras,0.8
INFRAESTRUTURA VIARIA,drenagem pavimentacao guia,0.75
INOVACAO,inteligencia artificial processo,0.98
INOVACAO,transformacao digital estrategia,0.95
INOVACAO,automacao processo tecnologia,0.9
INOVACAO,solucao tecnologica eficiencia,0.85
INOVACAO,tecnologia inovacao projeto,0.8
INOVACAO,modernizacao sistema operacao,0.75
INOVACAO,ampliacao obra tecnologia,0.6
INOVACAO,investimento inovacao projeto,0.8
INSTITUCIONAL,governanca institucional gestao,0.95
INSTITUCIONAL,compromisso institucional sociedade,0.9
INSTITUCIONAL,imagem institucional empresa,0.85
INSTITUCIONAL,empresa institucional atuacao,0.75
INSTITUCIONAL,atuacao institucional publica,0.7
INVESTIMENTO,investimento infraestrutura saneamento,0.95
INVESTIMENTO,recurso investimento projeto,0.9
INVESTIMENTO,investimento obra ampliacao,0.85
INVESTIMENTO,aplicacao investimento sistema,0.75
INVESTIMENTO,melhoria servico investimento,0.7
LEGAL,compliance etica integridade,"1,00"
LEGAL,decisao judicial processo,0.95
LEGAL,conformidade legal obrigacao,0.9
LEGAL,legislacao cumprimento norma,0.85
LEGAL,adequacao legal regulamento,0.8
LEGAL,responsabilidade legal empresa,0.75
MEIO AMBIENTE,meio ambiente preservacao,0.95
MEIO AMBIENTE,protecao ambiental recurso,0.9
MEIO AMBIENTE,impacto ambiental reducao,0.85
MEIO AMBIENTE,gestao ambiental sustentavel,0.8
MEIO AMBIENTE,sustentabilidade ambiental projeto,0.75
MERCADO FINANCEIRO,dividendos acionistas lucro,"1,00"
MERCADO FINANCEIRO,bolsa valores acoes,0.98
MERCADO FINANCEIRO,resultado financeiro trimestre,0.95
MERCADO FINANCEIRO,mercado financeiro acoes,0.9
